,Node,Alamat,Link,lat,long,
,76,SPBU Shell - Margorejo,Link,-7.3174111,112.7504313,
,77,SPBU Shell Jl. Raya Prapen No.50,Link,-7.3088436,112.7601212,
,78,SPBU Shell Jl.Raya Jemursari,Link,-7.3270382,112.732417,
,79,"SPBU Shell Mastrip - Kedurus, Karangpilang",Link,-7.3243952,112.7089127,
,80,SPBU Shell Jl. Mayjend. Jonosewojo,Link,-7.2916648,112.6756172,
,81,SPBU Shell Citraland - Mayor Jenderal Sungkono,Link,-7.2830254,112.6505561,
,82,"SPBU Shell Jl. Diponegoro, DR. Soetomo",Link,-7.2837719,112.7334513,
,83,SPBU Shell Jl. Simo Magersari No. 62,Link,-7.2678209,112.7124069,
,84,SPBU Shell Jl. Raya Dupak,Link,-7.2456583,112.7213161,
,85,SPBU Shell - Pemuda Central-1,Link,-7.2657828,112.7483547,
